Time,Open,High,Low,Close,Volume,Date
1581544800000,10373.0,10380.8,10329.45,10337.26,1402.626188,2020-02-12 22:00:00
1581541200000,10376.67,10410.0,10315.21,10373.28,3010.211333,2020-02-12 21:00:00
1581537600000,10313.49,10383.97,10313.49,10377.9,2093.568843,2020-02-12 20:00:00
1581534000000,10345.78,10350.54,10313.0,10313.47,1794.141479,2020-02-12 19:00:00
1581530400000,10355.06,10359.0,10319.0,10345.78,1419.534218,2020-02-12 18:00:00
1581526800000,10339.72,10364.52,10312.77,10354.91,1905.14194,2020-02-12 17:00:00
1581523200000,10314.56,10374.94,10294.0,10339.77,2767.520451,2020-02-12 16:00:00
1581519600000,10346.27,10348.26,10250.0,10314.56,3461.516125,2020-02-12 15:00:00
1581516000000,10369.93,10415.0,10284.46,10346.12,3888.119723,2020-02-12 14:00:00
1581512400000,10336.82,10380.22,10327.05,10370.0,2558.610322,2020-02-12 13:00:00
1581508800000,10343.4,10344.99,10291.93,10336.39,2025.723872,2020-02-12 12:00:00
1581505200000,10305.74,10370.75,10288.77,10343.4,2952.320447,2020-02-12 11:00:00
1581501600000,10275.06,10325.0,10243.25,10305.83,2712.015354,2020-02-12 10:00:00
1581498000000,10293.0,10293.13,10236.44,10275.96,2430.638864,2020-02-12 09:00:00
1581494400000,10366.62,10371.72,10226.44,10292.3,4976.99079,2020-02-12 08:00:00
1581490800000,10327.51,10450.0,10306.02,10366.0,5797.332167,2020-02-12 07:00:00
1581487200000,10319.57,10343.01,10269.25,10328.24,2412.897909,2020-02-12 06:00:00
1581483600000,10269.06,10333.28,10256.65,10319.53,2302.150572,2020-02-12 05:00:00
1581480000000,10263.08,10300.66,10256.78,10269.0,1355.006192,2020-02-12 04:00:00
1581476400000,10253.44,10287.2,10241.79,10263.0,1466.142032,2020-02-12 03:00:00
1581472800000,10279.41,10291.39,10226.43,10252.94,1440.985728,2020-02-12 02:00:00
1581469200000,10317.36,10319.71,10266.03,10279.4,1701.842812,2020-02-12 01:00:00
1581465600000,10223.08,10320.0,10223.08,10318.97,3266.870887,2020-02-12 00:00:00
1581462000000,10204.0,10252.9,10183.47,10223.08,1665.282156,2020-02-11 23:00:00
1581458400000,10198.52,10220.78,10179.92,10204.0,984.858074,2020-02-11 22:00:00
1581454800000,10221.98,10228.71,10168.75,10199.73,1180.332593,2020-02-11 21:00:00
1581451200000,10246.59,10260.0,10206.65,10222.04,1395.577607,2020-02-11 20:00:00
1581447600000,10206.26,10256.75,10160.15,10247.73,2309.789015,2020-02-11 19:00:00
1581444000000,10278.51,10323.59,10190.24,10206.22,4665.967186,2020-02-11 18:00:00
1581440400000,10220.22,10285.0,10215.0,10280.0,3754.756123,2020-02-11 17:00:00
1581436800000,10165.0,10311.0,10163.6,10220.12,8661.623178,2020-02-11 16:00:00
1581433200000,9857.19,10194.0,9852.58,10164.99,10248.321827,2020-02-11 15:00:00
1581429600000,9871.43,9901.5,9847.0,9857.95,2344.722329,2020-02-11 14:00:00
1581426000000,9847.74,9908.0,9846.46,9871.43,2632.360439,2020-02-11 13:00:00
1581422400000,9801.02,9877.54,9787.88,9847.74,3390.982521,2020-02-11 12:00:00
1581418800000,9786.89,9815.0,9775.07,9801.04,1469.493933,2020-02-11 11:00:00
1581415200000,9780.39,9805.0,9762.0,9786.87,1472.933694,2020-02-11 10:00:00
1581411600000,9788.99,9806.36,9763.16,9780.35,1748.074097,2020-02-11 09:00:00
1581408000000,9739.87,9789.95,9730.89,9789.88,1652.431749,2020-02-11 08:00:00
1581404400000,9765.38,9787.07,9727.0,9739.94,1031.892551,2020-02-11 07:00:00
1581400800000,9754.0,9785.78,9735.14,9765.38,1077.081755,2020-02-11 06:00:00
1581397200000,9749.11,9784.93,9742.49,9754.01,1161.162737,2020-02-11 05:00:00
1581393600000,9733.43,9761.63,9715.0,9749.12,1529.174918,2020-02-11 04:00:00
1581390000000,9759.76,9775.0,9722.24,9733.39,1453.65837,2020-02-11 03:00:00
1581386400000,9812.51,9821.0,9750.0,9759.76,1260.811162,2020-02-11 02:00:00
1581382800000,9779.13,9821.26,9700.0,9814.07,3212.749387,2020-02-11 01:00:00
1581379200000,9851.74,9862.18,9771.86,9779.69,2118.357823,2020-02-11 00:00:00
1581375600000,9841.8,9894.56,9841.8,9851.83,1094.952882,2020-02-10 23:00:00
1581372000000,9870.41,9870.41,9813.0,9842.83,1212.893938,2020-02-10 22:00:00
1581368400000,9852.08,9875.0,9845.47,9869.6,849.324903,2020-02-10 21:00:00
1581364800000,9831.67,9878.05,9827.46,9852.43,1411.650675,2020-02-10 20:00:00
1581361200000,9842.25,9849.71,9800.02,9829.56,1125.2244,2020-02-10 19:00:00
1581357600000,9844.99,9860.0,9816.33,9842.26,1191.301607,2020-02-10 18:00:00
1581354000000,9832.86,9853.77,9812.28,9846.42,1386.578584,2020-02-10 17:00:00
1581350400000,9865.06,9893.17,9815.73,9832.49,2711.353987,2020-02-10 16:00:00
1581346800000,9886.67,9925.63,9850.0,9865.05,2818.738623,2020-02-10 15:00:00
1581343200000,9822.59,9900.0,9812.14,9886.63,2576.400079,2020-02-10 14:00:00
1581339600000,9847.63,9866.0,9810.99,9822.61,2661.10133,2020-02-10 13:00:00
1581336000000,9821.41,9848.63,9777.6,9845.86,2649.527579,2020-02-10 12:00:00
1581332400000,9848.63,9848.98,9765.0,9821.43,3542.078136,2020-02-10 11:00:00
1581328800000,9835.21,9872.0,9820.79,9847.78,3918.833069,2020-02-10 10:00:00
